date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:41	330/330	---M-Z	404	error ('Not%20Found')	text/html	etag:%221445196878%22	http://buyerly.com/assets/ico/apple-touch-icon-114-precomposed.png	./buyerly.com/assets/ico/apple-touch-icon-114-precomposed/index.png	(from http://buyerly.com/)
12:34:42	329/329	---M-Z	404	error ('Not%20Found')	text/html	etag:%221445196879%22	http://buyerly.com/assets/ico/apple-touch-icon-72-precomposed.png	./buyerly.com/assets/ico/apple-touch-icon-72-precomposed/index.png	(from http://buyerly.com/)
12:34:43	329/329	---M-Z	404	error ('Not%20Found')	text/html	etag:%221445196880%22	http://buyerly.com/assets/ico/apple-touch-icon-57-precomposed.png	./buyerly.com/assets/ico/apple-touch-icon-57-precomposed/index.png	(from http://buyerly.com/)
12:34:43	305/305	---M-Z	404	error ('Not%20Found')	text/html	etag:%221445196880%22	http://buyerly.com/assets/ico/favicon.png	./buyerly.com/assets/ico/favicon/index.png	(from http://buyerly.com/)
12:34:44	13344/13344	---M-Z	200	added ('OK')	text/css	etag:%2210024d-3420-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/css/layerslider.css	./buyerly.com/sites/all/themes/buyerly/css/layerslider/index.css	(from http://buyerly.com/)
12:34:44	8152/8152	---M-Z	200	added ('OK')	application/javascript	etag:%22100451-1fd8-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/js/jquery-easing-1.3.js	./buyerly.com/sites/all/themes/buyerly/js/jquery-easing-1.3/index.js	(from http://buyerly.com/)
12:34:45	6565/6565	---M-Z	200	added ('OK')	application/javascript	etag:%22100453-19a5-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/js/jquerytransit.js	./buyerly.com/sites/all/themes/buyerly/js/jquerytransit/index.js	(from http://buyerly.com/)
12:34:45	55/55	---M-Z	200	added ('OK')	application/javascript	etag:%22100454-37-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/js/layerslider.custom.transitions.js	./buyerly.com/sites/all/themes/buyerly/js/layerslider.custom.transitions/index.js	(from http://buyerly.com/)
12:34:45	18334/18334	---M-Z	200	added ('OK')	application/javascript	etag:%22100456-479e-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/js/layerslider.transitions.js	./buyerly.com/sites/all/themes/buyerly/js/layerslider.transitions/index.js	(from http://buyerly.com/)
12:34:45	39666/39666	---M-Z	200	added ('OK')	text/html	etag:%221444659414-1%22	http://buyerly.com/signup	./buyerly.com/signup/index.html	(from http://buyerly.com/)
12:34:46	1133/1133	---M--	200	added ('OK')	image/png	etag:%2210042b-46d-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/img/sign-up-arrow-l.png	./buyerly.com/sites/all/themes/buyerly/img/sign-up-arrow-l/index.png	(from http://buyerly.com/)
12:34:46	1142/1142	---M--	200	added ('OK')	image/png	etag:%2210042d-476-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/img/sign-up-arrow-r.png	./buyerly.com/sites/all/themes/buyerly/img/sign-up-arrow-r/index.png	(from http://buyerly.com/)
12:34:46	42005/42005	---M-Z	200	added ('OK')	application/javascript	etag:%22100455-a415-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/js/layerslider.kreaturamedia.jquery.js	./buyerly.com/sites/all/themes/buyerly/js/layerslider.kreaturamedia.jquery/index.js	(from http://buyerly.com/)
12:34:47	43146/43146	---MCZ	200	added ('OK')	text/html	etag:%221444677428-1%22	http://buyerly.com/how-buyerly-works	./buyerly.com/how-buyerly-works/index.html	(from http://buyerly.com/)
12:34:47	94861/94861	---M-Z	200	added ('OK')	application/javascript	etag:%22100452-1728d-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/js/jquery.js?ver=1.7.2	./buyerly.com/sites/all/themes/buyerly/js/jquery/index.js	(from http://buyerly.com/)
12:34:47	42801/42801	---M-Z	200	added ('OK')	text/html	etag:%221444981273-1%22	http://buyerly.com/pricing	./buyerly.com/pricing/index.html	(from http://buyerly.com/)
12:34:47	39891/39891	---M-Z	200	added ('OK')	text/html	etag:%221444794364-1%22	http://buyerly.com/user/login	./buyerly.com/user/login/index.html	(from http://buyerly.com/)
12:34:48	9577/9577	---M--	200	added ('OK')	image/png	etag:%22e109e-2569-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/logo.png	./buyerly.com/sites/all/themes/buyerly/logo/index.png	(from http://buyerly.com/)
12:34:48	5369/5369	---M--	200	added ('OK')	image/png	etag:%22100282-14f9-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/slider-img1.png	./buyerly.com/sites/all/themes/buyerly/images/slider-img1/index.png	(from http://buyerly.com/)
12:34:50	10993/10993	---M--	200	added ('OK')	image/png	etag:%22100287-2af1-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text-img1.png	./buyerly.com/sites/all/themes/buyerly/images/text-img1/index.png	(from http://buyerly.com/)
12:34:52	8405/8405	---M--	200	added ('OK')	image/png	etag:%22100289-20d5-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text-img3.png	./buyerly.com/sites/all/themes/buyerly/images/text-img3/index.png	(from http://buyerly.com/)
12:34:52	24211/24211	---M--	200	added ('OK')	image/png	etag:%22100288-5e93-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text-img2.png	./buyerly.com/sites/all/themes/buyerly/images/text-img2/index.png	(from http://buyerly.com/)
12:34:53	6849/6849	---M--	200	added ('OK')	image/png	etag:%22100283-1ac1-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/slider-img2.png	./buyerly.com/sites/all/themes/buyerly/images/slider-img2/index.png	(from http://buyerly.com/)
12:34:55	9201/9201	---M--	200	added ('OK')	image/png	etag:%2210028b-23f1-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text2-1.png	./buyerly.com/sites/all/themes/buyerly/images/text2-1/index.png	(from http://buyerly.com/)
12:34:56	9433/9433	---M--	200	added ('OK')	image/png	etag:%2210028d-24d9-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text2-3.png	./buyerly.com/sites/all/themes/buyerly/images/text2-3/index.png	(from http://buyerly.com/)
12:34:58	71771/71771	---M--	200	added ('OK')	image/jpeg	etag:%2210029a-1185b-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/img/320-slider.jpg	./buyerly.com/sites/all/themes/buyerly/img/320-slider/index.jpg	(from http://buyerly.com/)
12:34:58	10561/10561	---M--	200	added ('OK')	image/png	etag:%2210028c-2941-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text2-2.png	./buyerly.com/sites/all/themes/buyerly/images/text2-2/index.png	(from http://buyerly.com/)
12:35:00	7616/7616	---M--	200	added ('OK')	image/png	etag:%2210028e-1dc0-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text2-4.png	./buyerly.com/sites/all/themes/buyerly/images/text2-4/index.png	(from http://buyerly.com/)
12:35:01	6303/6303	---M--	200	added ('OK')	image/png	etag:%22100284-189f-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/slider-img3.png	./buyerly.com/sites/all/themes/buyerly/images/slider-img3/index.png	(from http://buyerly.com/)
12:35:02	20221/20221	---M--	200	added ('OK')	image/png	etag:%2210028f-4efd-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text2.png	./buyerly.com/sites/all/themes/buyerly/images/text2/index.png	(from http://buyerly.com/)
12:35:03	2645/2645	---M--	200	added ('OK')	image/png	etag:%22100290-a55-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text3-1.png	./buyerly.com/sites/all/themes/buyerly/images/text3-1/index.png	(from http://buyerly.com/)
12:35:04	5345/5345	---M--	200	added ('OK')	image/png	etag:%22100292-14e1-4e409770caa80%22	http://buyerly.com/sites/all/themes/buyerly/images/text3-2.png	./buyerly.com/sites/all/themes/buyerly/images/text3-2/index.png	(from http://buyerly.com/)
12:35:12	47301/47301	---M--	200	added ('OK')	image/png	etag:%22100293-b8c5-4e3d346e72280%22	http://buyerly.com/sites/all/themes/buyerly/images/text3.png	./buyerly.com/sites/all/themes/buyerly/images/text3/index.png	(from http://buyerly.com/)
